"abdiceren","afstand doen van de troon"
"aberratie","afwijking, dwaling"
"abject","verwerpelijk"
"abolitionist","iemand die vond dat de slavernij afgeschaft moest worden"
"absint","gevaarlijk sterke drank (zelfgestookt)"
"abstinent","een persoon die zich onthoudt, meestal van alcohol"
"acclamatie","toejuiching"
"achenebbisj","vervallen, achterbuurt-achtig (B. Büch)"
"acoliet","misdienaar, volgeling"
"ad hominem","op de man gespeeld"
"ad infinitum","oneindig"
"ad libitum","naar keuze"
"ad nauseam","tot vervelens toe, eindeloos discussiëren"
"adagium","spreekwoord"
"adept","ingewijde"
"adjectief","bijvoeglijk naamwoord"
"adolescent","jongeling"
"adstructie","bevestigen door aanvoeren van bewijzen (lett: opstapeling)"
"adstrueren","nader staven"
"affreus","afschuwelijk"
"aficionado","aanhanger"
"afrodisiaca","potentie verhogende middelen"
"agitator","volksmenner, onruststoker. Theo van Gogh, een geboren ~."
"agnost","gelooft alleen in wat wij kennen, daarbuiten is niets zeker"
"agoog","opvoeder, leider"
"aimabel","beminnelijk"
"ajour","stof met kleine gaatjes (van bijv. sluier)"
"alliteratie","beginrijm (melk moet enz.)"
"allopathie","Gebruikelijke geneeskunde, itt homeopathie: genezen door ziekte te veroorzaken."
"alluderen","zinspelen op"
"alluviaal","onstaaan door aanslibbing (Pantanal in Brazilië)"
"alumnus","afgestudeerde"
"amfoor","Griekse/Romeinse kegelvormige kruik met oren"
"amorf","zonder vorm. Een -e zitzak"
"anamnese","voorgeschiedenis van de ziekte"
"anathema","volledige veroordeling"
"anciënniteit","volgorde in ouderdom of dienstjaren"
"anemie","bloedarmoede"
"aneurysma","verwijding van het bloedvat"
"angehaugt","aangetrokken voelen tot"
"animositeit","gespannen verhouding"
"annus horribilis","horror / ramp jaar"
"anonymus","onbekend/onbenoemd persoon"
"antagonist","tegenstander, rivaal, vijand"
"antimakassar","sierkleedje op stoel"
"antipode","tegenvoeter, iemand met tegengesteld karakter"
"antoniem","woorden waarvan de betekenis tegengesteld is. Goed en slecht."
"antropomorfisme","voorstelling van andere wezens als mensen (Disney films)."
"antroposofisch","de mens, natuur en kosmos verbindend"
"apaiseren","doen bedaren"
"aplomb","grote zekerheid, overtuiging"
"apodictisch","zeer stellig, geen tegenspraak duldend"
